Name,Grid Reference,Walk Link,Lat,Long,Ticked
Abney Moor (Durham Edge) *,SK 18043 79421,Abney Moor (Durham Edge) *,53.31142579403521,-1.730659205837999,
Aleck Low *,SK 17502 59475,Aleck Low *,53.13215455243625,-1.7398664472667529,
Alphin Pike,SE 00296 02817,Alphin Pike,53.522024861215236,-1.997005261314164,
Axe Edge,SK 03502 70613,Axe Edge,53.23254552216609,-1.94899461916823,
Back Tor,SK 19763 90991,Back Tor,53.41536163294884,-1.7041253160862186,Y
Bank Top *,SK 11802 60064,Bank Top *,53.13760446540457,-1.8250380500723655,
Birchen Edge,SK 27825 73093,Birchen Edge,53.25412512794833,-1.5843960718312997,
Black Edge,SK 06254 77006,Black Edge,53.289985953355405,-1.9076435314594542,
Blacka Plantation *,SK 28995 81251,Blacka Plantation *,53.3273906451637,-1.5661173251319807,
Blackstones Low,SK 21000 55420,Blackstones Low,53.09557916759036,-1.6878486919601015,
Blake Mere (Merryton Low),SK 04134 60999,Blake Mere (Merryton Low),53.146122112258034,-1.9396475563850124,
Blakelow Hill *,SK 25454 59395,Blakelow Hill *,53.13111677499866,-1.6210210227548567,
Bole Hill *,SK 18403 67589,Bole Hill *,53.2050595645155,-1.7259361077163884,
Bradnop *,SK 03842 54265,Bradnop *,53.08559242247723,-1.9440914319922198,
Bradwell Moor,SK 13179 80133,Bradwell Moor,53.31796801382454,-1.803632199004725,
Brown Knoll,SK 08369 85129,Brown Knoll,53.362972012724015,-1.8757046386876517,
Burbage Edge,SK 02960 73247,Burbage Edge,53.25622517386236,-1.95709079250004,
Calton Pastures,SK 23779 68174,Calton Pastures,53.21010584111546,-1.6454058951452426,
Chinley Churn *,SK 03549 83633,Chinley Churn *,53.34957832424731,-1.9481497223534647,
Cock Hill,SK 05931 96189,Cock Hill,53.46241755869627,-1.9121357785033837,
Dead Edge End,SE 12445 01728,Dead Edge End,53.5120919730326,-1.8138055563768283,
Ecton Hill,SK 09979 57998,Ecton Hill,53.11907017580921,-1.8523517952939534,
Edale Moor (Kinder Scout Plateau),SK 12927 87809,Edale Moor (Kinder Scout Plateau),53.38697049111051,-1.8071041454159384,
