Day,Time,Class,Duration,Studio
Border-b,Time,Class,Duration,Studio
Border-b,06:30,Gravity Strength*,45,Gravity Studio
Border-b,06:30,RPM,45,Cycle Studio
Border-b,07:30,Gravity Pilates*,30,Gravity Studio
Border-b,08:20,Intro to Strength Development,15,Les Mills Studio
Border-b,08:35,Strength Development,45,Les Mills Studio
Border-b,09:30,Les Mills Dance,30,Les Mills Studio
Border-b,09:30,Sprint,30,Cycle Studio
Border-b,09:45,Gravity Core*,30,Gravity Studio
Border-b,10:00,Aquafit*,45,Pool
Border-b,10:15,Body Pump,45,Les Mills Studio
Border-b,11:10,Intro to Gravity*,15,Gravity Studio
Border-b,11:25,Gravity Strength*,45,Gravity Studio
Border-b,11:20,Yoga,45,Les Mills Studio
Border-b,12:30,Young@Heart,45,Les Mills Studio
Border-b,13:00,Sprint,30,Cycle Studio
Border-b,17:15,Les Mills Dance,45,Les Mills Studio
Border-b,17:30,Gravity Strength*,30,Gravity Studio
Border-b,18:00,Sprint,30,Cycle Studio
Border-b,18:05,Body Combat,45,Les Mills Studio
Border-b,18:15,Gravity Core*,30,Gravity Studio
Border-b,18:55,The Trip,45,Cycle Studio
Border-b,19:00,Body Pump,45,Les Mills Studio
Border-b,19:00,Dancefit,45,Boxfit Studio
Border-b,19:00,Gravity Strength*,30,Gravity Studio
Border-b,19:55,Circuits,45,BoxFit Studio
Border-b,20:00,Body Balance,45,Les Mills Studio
Border-b,20:00,Aquafit*,30,Pool
